id,lock_number,name,common_name,mile,alternate_mile,latitude,longitude,notes,source_ids
lock-61,61,Lock 61,,153.1,153.1,39.583308,-78.459972,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-62,62,Lock 62,,154.1,154.2,39.570954,-78.452925,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-63-1-3,63 1/3,Lock 63 1/3,,154.5,154.5,39.566306,-78.454759,Fractional numbering is official. There is no ordinary Lock 63.,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-64-2-3,64 2/3,Lock 64 2/3,,154.6,154.6,39.565278,-78.456065,Fractional numbering is official. There is no ordinary Lock 64.,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-66,66,Lock 66,,154.7,154.7,39.564317,-78.457462,Lock 65 was eliminated and was never built as a lift lock.,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-67,67,Lock 67,Darbey's Lock,161.7,161.8,39.525514,-78.533007,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-68,68,Lock 68,Crabtree's Lock,164.8,164.8,39.530476,-78.588689,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-69,69,Lock 69,Twigg's Lock,166.5,166.4,39.539818,-78.609658,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-70,70,Lock 70,Oldtown,166.7,166.7,39.539815,-78.613427,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-71,71,Lock 71,,167.0,167.0,39.541786,-78.618323,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-72,72,Lock 72,The Narrows / Ten Mile Lock,174.4,174.4,39.576123,-78.730887,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-73,73,Lock 73,North Branch 1,175.4,175.4,39.587907,-78.736863,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-74,74,Lock 74,North Branch 2,175.5,175.5,39.587873,-78.738747,,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-75,75,Lock 75,North Branch 3 / Keifers Lock,175.7,175.6,39.586476,-78.741911,Last lift lock on the canal.,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
