id,name,feature_type,mile,mile_end,latitude,longitude,source_ids
nps-taylors-landing-80-9,Taylors Landing,boat_access,80.9,,39.499898,-77.769066,nps_recreation_guide|nps_towpath_reference
access-taylors-landing-81-0,Taylors Landing,access_point,81.0,,39.499645,-77.767866,co_canal_association_access_points|nps_recreation_guide
nps-big-woods-82-7,Big Woods,campground,82.7,,39.491757,-77.797918,nps_recreation_guide|nps_towpath_reference
access-dam-no-4-84-4,Dam No. 4,access_point,84.4,,39.496001,-77.826266,co_canal_association_access_points|nps_recreation_guide
nps-dam-4-84-4,Dam 4,dam,84.4,,39.495682,-77.828942,nps_recreation_guide|nps_towpath_reference
access-big-slackwater-boat-ramp-85-4,Big Slackwater Boat Ramp,access_point,85.4,,39.501346,-77.845385,co_canal_association_access_points|nps_recreation_guide
nps-big-slackwater-85-5,Big Slackwater,boat_access,85.5,,39.503003,-77.845234,nps_recreation_guide|nps_towpath_reference
access-mcmahons-mill-88-1,McMahons Mill,access_point,88.1,,39.530654,-77.823522,co_canal_association_access_points|nps_recreation_guide
nps-mcmahons-mill-88-1,McMahons Mill,recreation_location,88.1,,39.531205,-77.825732,nps_recreation_guide|nps_towpath_reference
lock-41,Lock 41,lock,88.9,,39.532456,-77.839459,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-42,Lock 42,lock,89.0,,39.531319,-77.840599,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-spring-dell-road-89-1,Spring Dell Road,access_point,89.1,,39.530309,-77.844116,co_canal_association_access_points
nps-opequon-junction-90-9,Opequon Junction,railroad_junction,90.9,,39.516661,-77.862118,nps_recreation_guide|nps_towpath_reference
lock-43,Lock 43,lock,92.9,,39.543371,-77.867558,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
nps-cumberland-valley-95-2,Cumberland Valley,campground,95.2,,39.561766,-77.869969,nps_recreation_guide|nps_towpath_reference
lock-44,Lock 44,lock,99.1,,39.592623,-77.825474,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-lock-44-99-3,Lock 44,access_point,99.3,,39.595037,-77.824712,co_canal_association_access_points|nps_recreation_guide
access-williamsport-visitor-center-99-8,Williamsport Visitor Center,access_point,99.8,,39.600996,-77.826927,co_canal_association_access_points|nps_recreation_guide
nps-cushwa-basin-williamsport-99-8,Cushwa Basin (Williamsport),visitor_center,99.8,,39.602083,-77.828702,nps_recreation_guide|nps_towpath_reference
nps-jordan-junction-101-2,Jordan Junction,railroad_junction,101.2,,39.609492,-77.85102,nps_recreation_guide|nps_towpath_reference
access-gift-road-103-3,Gift Road,access_point,103.3,,39.616863,-77.888503,co_canal_association_access_points
access-dam-no-5-road-106-2,Dam No. 5 Road,access_point,106.2,,39.604678,-77.911877,co_canal_association_access_points
access-dam-no-5-106-8,Dam No. 5,access_point,106.8,,39.607079,-77.921117,co_canal_association_access_points|nps_recreation_guide
nps-dam-5-106-8,Dam 5,dam,106.8,,39.608012,-77.922882,nps_recreation_guide|nps_towpath_reference
lock-45,Lock 45,lock,107.0,,39.610333,-77.92506,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-46,Lock 46,lock,107.2,,39.613054,-77.925573,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-lock-46-107-4,Lock 46,access_point,107.4,,39.615866,-77.926626,co_canal_association_access_points
lock-47,Lock 47,lock,108.7,,39.616916,-77.946986,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
access-four-locks-108-8,Four Locks,access_point,108.8,,39.615311,-77.947494,co_canal_association_access_points|nps_recreation_guide
lock-48,Lock 48,lock,108.8,,39.615704,-77.947982,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
lock-49,Lock 49,lock,108.9,,39.614369,-77.948654,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
nps-four-locks-109-0,Four Locks,lock,109.0,,39.613005,-77.949229,nps_recreation_guide|nps_towpath_reference
lock-50,Lock 50,lock,109.0,,39.613005,-77.949229,nps_lift_locks|co_canal_trust_locks|nps_towpath_reference
nps-north-mountain-110-0,North Mountain,campground,110.0,,39.61052,-77.963543,nps_recreation_guide|nps_towpath_reference
access-mccoys-ferry-110-4,McCoys Ferry,access_point,110.4,,39.609261,-77.970065,co_canal_association_access_points|nps_recreation_guide
